CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,target_class
502,France,Female,2,8,159660.8,3,1,0,113931.57,1,1
699,France,f,2,1,0,2,0,0,93826.63,0,1
850,Spain,Female,2,2,125510.82,1,1,1,79084.1,0,1
645,Spain,Male,17,8,113755.78,100,1,0,149756.71,1,1
822,France,Male,17,7,0,2,1,1,10062.8,0,1
376,Germany,Female,17,4,115046.74,4,1,0,119346.88,1,1
501,France,Male,44,4,142051.07,150,0,1,74940.5,0,1
684,France,Male,27,2,134603.88,150,1,1,71725.73,0,1
528,France,Male,31,6,102016.72,150,0,0,80181.12,0,1
497,Spain,Male,24,3,0,80,1,0,76390.01,0,1
476,France,Female,34,10,0,150,1,0,26260.98,0,1
549,France,Female,25,5,0,11,0,0,190857.79,0,1
635,Spain,Female,35,7,0,150,1,1,65951.65,0,1
616,Germany,Male,45,3,143129.41,150,0,1,64327.26,0,1
653,Germany,Male,58,1,132602.88,5,1,0,5097.67,1,1
549,Spain,Female,24,9,0,5,1,1,14406.41,0,1
587,Spain,Male,45,6,0,5,0,0,158684.81,0,1
726,France,Female,24,6,0,5,1,1,54724.03,0,1
732,France,x,41,8,0,5,1,1,170886.17,0,1
636,Spain,x,32,8,0,5,1,0,138555.46,0,1
510,Spain,x,38,4,0,1,1,0,118913.53,1,1
669,France,x,46,3,0,2,0,1,8487.75,0,1
846,France,Female,1,5,0,1,1,1,187616.16,0,1
577,France,Male,1,3,0,2,0,1,124508.29,0,1
756,Germany,Male,1,2,136815.64,1,1,1,170041.95,0,1
571,France,Male,1,9,0,2,0,0,38433.35,0,1
574,Germany,Female,1,3,141349.43,1,1,1,100187.43,0,1
411,France,Male,29,0,59697.17,5,1,1,53483.21,0,1
591,Spain,Female,39,3,0,5,1,0,140469.38,1,1
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,1
553,Germany,Male,41,9,110112.54,5,0,0,81898.81,0,1
520,Spain,Female,42,6,0,5,1,1,34410.55,0,1
722,Spain,Female,29,9,0,5,1,1,142033.07,0,1
475,France,Female,45,0,134264.04,166,1,0,27822.99,1,1
490,Spain,Male,31,3,145260.23,1800,0,1,114066.77,0,1
804,Spain,Male,33,7,76548.6,15,0,1,98453.45,0,1
850,France,a,36,7,0,3,1,1,40812.9,0,1
582,Germany,b,41,6,70349.48,2,0,1,178074.04,0,1
472,Spain,span,40,4,0,99,1,0,70154.22,0,1
